id;UNIDAD;MUNICIPIO;Match_addr;ARC_Street;CODIGO;PERIODO;DIRECCION;Delito;x;y
28380;MEBOG;Bogota;CL 56-88I S 51, BOGOTA;CL 56 SUR KR 88 I 51;110316610;2012;CL 56 SUR KR 88 I 51;h_personas;-74,18207208;4,630278881
28381;MEBOG;Bogota;CL 56H-98 S 4, BOGOTA;CL 56 H SUR KR 98 4;110316611;2012;CL 56 H SUR KR 98 4;h_personas;-74,18786824;4,637938455
28382;MEBOG;Bogota;CL 127-16 2, BOGOTA;CL 127 KR 16;110316614;2012;CL 127 KR 16;h_personas;-74,03873644;4,705049041
28383;MEBOG;Bogota;CL 42A-79D S 2, BOGOTA;CL 42 A SUR KR 79 D;110316615;2012;CL 42 A SUR KR 79 D;h_personas;-74,1570072;4,621635808
28384;MEBOG;Bogota;KR 71F-6 S 2, BOGOTA;KR 71 F CL 6 SUR;110316616;2012;KR 71 F CL 6 SUR;h_personas;-74,1211371;4,513849997
28385;MEBOG;Bogota;KR 7B-27A S 2, BOGOTA;KR 7 B CL 27 A SUR;110316619;2012;KR 7 B CL 27 A SUR;h_personas;-74,0906269;4,570355053
28386;MEBOG;Bogota;CL 53-13 2, BOGOTA;CL 53 KR 13;110316620;2012;CL 53 KR 13;h_personas;-74,05939628;4,640711431
28387;MEBOG;Bogota;KR 41A-4 56, BOGOTA;KR 41 A CL 4 56;110316622;2012;KR 41 A CL 4 56;h_personas;-74,1048452;4,614876247
28388;MEBOG;Bogota;CL 126-9 2, BOGOTA;CL 126 KR 9;110316624;2012;CL 126 KR 9;h_personas;-74,02504324;4,701910509
28389;MEBOG;Bogota;CL 40-51A S 2, BOGOTA;CL 40 SUR KR 51 A;110316625;2012;CL 40 SUR KR 51 A;h_personas;-74,12833405;4,600950558
28390;MEBOG;Bogota;CL 68-81G S 2, BOGOTA;CL 68 SUR KR 81 G;110316626;2012;CL 68 SUR KR 81 G;h_personas;-74,18563505;4,612360378
28391;MEBOG;Bogota;CL 80-100 2, BOGOTA;CL 80 KR 100;110316627;2012;CL 80 KR 100;h_personas;-74,10592735;4,710111851
28392;MEBOG;Bogota;CL 19-7 2, BOGOTA;CL 19 . KR 7 .;110316628;2012;CL 19 . KR 7 .;h_personas;-74,06592554;4,605923874
28393;MEBOG;Bogota;KR 51A-40 S 5, BOGOTA;KR 51 A CL 40 5 SUR;110316631;2012;KR 51 A CL 40 5 SUR;h_personas;-74,12396234;4,597508194
28394;MEBOG;Bogota;CL 7A-74 4, BOGOTA;CL 7 A KR 74 4;110316632;2012;CL 7 A KR 74 4;h_personas;-74,13484524;4,633869954
28395;MEBOG;Bogota;CL 65C-81F S 33, BOGOTA;CL 65 C SUR KR 81 F 33;110316633;2012;CL 65 C SUR KR 81 F 33;h_personas;-74,18335827;4,612127243
28396;MEBOG;Bogota;CL 53-76 2, BOGOTA;CL 53 KR 76;110316635;2012;CL 53 KR 76;h_personas;-74,10333385;4,675378156
28397;MEBOG;Bogota;KR 32B-4 S 2, BOGOTA;KR 32 B CL 4 SUR;110316637;2012;KR 32 B CL 4 SUR;h_personas;-74,10241329;4,601600524
28398;MEBOG;Bogota;CL 3-7 90, BOGOTA;CL 3 KR 7 90;110316639;2012;CL 3 KR 7 90;h_personas;-74,07494275;4,591364095
28399;MEBOG;Bogota;CL 48X-2 S 58, BOGOTA;CL 48 X SUR KR 2 58;110316640;2012;CL 48 X SUR KR 2 58;h_personas;-74,10161861;4,547109841
28400;MEBOG;Bogota;CL 23-104 2, BOGOTA;CL 23 KR 104;110316642;2012;CL 23 KR 104;h_personas;-74,1343894;4,681861578
28401;MEBOG;Bogota;CL 23-16 2, BOGOTA;CL 23 KR 16 2;110316643;2012;CL 23 KR 16 2;h_personas;-74,07004354;4,61281463
28402;MEBOG;Bogota;TV 2A-75B S 56, BOGOTA;TR 2 A CL 75 B 56 SUR;110316644;2012;TR 2 A CL 75 B 56 SUR;h_personas;-74,11673564;4,507199221
28403;MEBOG;Bogota;KR 7-33 2, BOGOTA;KR 7 CL 33;110316645;2012;KR 7 CL 33;h_personas;-74,06198772;4,620351202
28404;MEBOG;Bogota;KR 30-80 2, BOGOTA;KR 30 CL 80;110316646;2012;KR 30 CL 80;h_personas;-74,05930531;4,671688544
28405;MEBOG;Bogota;CL 26-88 S 2, BOGOTA;CL 26 S SUR KR 88;110316647;2012;CL 26 S SUR KR 88;h_personas;-74,15674785;4,641279188
28406;MEBOG;Bogota;KR 72R-40H S 2, BOGOTA;KR 72 R CL 40 H SUR;110316648;2012;KR 72 R CL 40 H SUR;h_personas;-74,14758422;4,611767676
28407;MEBOG;Bogota;KR 78C-80 S 2, BOGOTA;KR 78 C CL 80 SUR;110316649;2012;KR 78 C CL 80 SUR;h_personas;-74,20302213;4,610957244
28408;MEBOG;Bogota;KR 27-16 S 51, BOGOTA;KR 27 . CL 16 . 51 SUR;110316650;2012;KR 27 . CL 16 . 51 SUR;h_personas;-74,10062538;4,59223514
28409;MEBOG;Bogota;CL 145A-21 78, BOGOTA;CL 145 A KR 21 78;110316652;2012;CL 145 A KR 21 78;h_personas;-74,04385495;4,728504076
28410;MEBOG;Bogota;CL 57C-87 S 2, BOGOTA;CL 57 C SUR KR 87;110316653;2012;CL 57 C SUR KR 87;h_personas;-74,18034996;4,623046949
